copyright,date,explanation,media_type,title,url
" St�phane Guisard,  TWAN ",2014-05-04,"If Scorpius looked this good to the unaided eye, humans might remember it better.  Scorpius more typically appears as a few bright stars in a well-known but rarely pointed out zodiacal constellation. To get a spectacular image like this, though, one needs a good camera, color filters, and a digital image processor.  To bring out detail, the above image not only involved long duration exposures taken in several colors, but one exposure in a very specific red color emitted by hydrogen.  The resulting image shows many breathtaking features.  Vertically across the image left is part of the plane of our Milky Way Galaxy.   Visible there are vast clouds of bright stars and long filaments of dark dust.  Jutting out diagonally from the Milky Way in the image center are dark dust bands known as the Dark River.  This river connects to several bright stars on the right that are part of Scorpius' head and claws, and include the bright star Antares.  Above and right of Antares is an even brighter planet Jupiter. Numerous red emission nebulas and blue reflection nebulas are visible throughout the image. Scorpius appears prominently in southern skies after sunset during the middle of the year.   Astrophysicists: Preview changes coming to the Astrophysics Source Code Library",image,A Scorpius Sky Spectacular,https://apod.nasa.gov/apod/image/1405/scorpio_guisard_960.jpg
nan,2014-05-05,"How do you calibrate a huge gravitational lens? In this case the lens is the galaxy cluster Abell 383, a massive conglomeration of galaxies, hot gas, and dark matter that lies about 2.5 billion light years away (redshift z=0.187). What needs calibrating is the mass of the cluster, in particular the amount and distribution of dark matter. A new calibration technique has been tested recently that consists of waiting for supernovas of a very specific type to occur behind a galaxy cluster, and then figuring out how much the cluster must have magnified these supernovas through gravitational lensing.  This technique complements other measures including computing the dark matter needed to contain internal galaxy motions, to confine cluster hot gas, and to create the gravitational lens image distortions.  Pictured above from the Hubble Space Telescope, galaxy cluster A383 shows its gravitational lens capabilities on the right by highly distorting background galaxies behind the cluster center. On the left is a distant galaxy shown both before and after a recent revealing supernova. To date, calibration-quality supernovas of Type Ia have been found behind two other galaxy clusters by the Cluster Lensing And Supernova survey with Hubble (CLASH) project.    Follow APOD on: Facebook,  Google Plus, or Twitter",image,Galaxy Cluster Magnifies Distant Supernova,https://apod.nasa.gov/apod/image/1405/abell383sn_hubble_960.jpg
 Alan Friedman (Averted Imagination)  ,2014-05-06,"Our Sun has become quite a busy place.  Taken only two weeks ago, the Sun was captured sporting numerous tumultuous regions including active sunspot regions AR 2036 near the image top and AR 2038 near the center.  Only four years ago the Sun was emerging from an unusually quiet Solar Minimum that had lasted for years. The above image was recorded in a single color of light called Hydrogen Alpha, inverted, and false colored. Spicules cover much of the Sun's face like a carpet. The gradual brightening towards the Sun's edges is caused by increased absorption of relatively cool solar gas and called limb darkening.  Just over the Sun's edges, several filamentary prominences protrude, while prominences on the Sun's face are seen as light streaks.  Possibly the most visually interesting of all are the magnetically tangled active regions containing relatively cool sunspots, seen as white dots.  Currently at Solar Maximum -- the most active phase in its 11-year magnetic cycle, the Sun's twisted magnetic field is creating numerous solar sparks which include eruptive solar prominences, coronal mass ejections, and flares which emit clouds of particles that may impact the Earth and cause auroras. One flare two years ago released such a torrent of charged particles into the Solar System that it might have disrupted satellites and compromised power grids had it struck planet Earth.   News: Free APOD Lecture in Paris on June 17",image,Orange Sun Sparking,https://apod.nasa.gov/apod/image/1405/sunhalpha_friedman_960.jpg
nan,2014-05-07,"What has the Curiosity rover come across on Mars? Dubbed Mount Remarkable, the rolling robot has chanced upon this notable 5-meter tall mound during its continuing journey around and, eventually, up 5.5-kilometer high Mt. Sharp. Unsure of the density of the surrounding layered sandstone, the human team on Earth has instructed the car-sized rover on Mars to drill into a rock on the side of Mt. Remarkable to investigate. Quite possibly, water involved in creating the dense sandstone could have helped to support ancient life on the red planet.  Mt. Sharp, the unusual central peak of Gale Crater, has a similar base-to-peak height as Earth's Mt. Everest.",image,Curiosity Inspects Mt. Remarkable on Mars,https://apod.nasa.gov/apod/image/1405/mtremarkable_curiosity_960.jpg
Martin Pugh,2014-05-08,"Sharp telescopic views of NGC 3628 show a puffy galactic disk divided by dark dust lanes. Of course, this deep portrait of the magnificent, edge-on spiral galaxy puts some astronomers in mind of its popular moniker, the Hamburger Galaxy. It also reveals a small galaxy nearby, likely a satellite of NGC 3628, and a faint but extensive tidal tail. The tantalizing island universe itself is about 100,000 light-years across and 35 million light-years away in the northern springtime constellation Leo. Its drawn out tail stretches for about 300,000 light-years, even beyond the left edge of the wide frame. NGC 3628 shares its neighborhood in the local Universe with two other large spirals M65 and M66 in a grouping otherwise known as the Leo Triplet. Gravitational interactions with its cosmic neighbors are likely responsible for creating the tidal tail, as well as the extended flare and warp of this spiral's disk.",image,The Tail of the Hamburger Galaxy,https://apod.nasa.gov/apod/image/1405/NGC3628_HaLRGBpugh600c.jpg
Mike Taylor,2014-05-09,"The early morning hours of May 6 were moonless when grains of cosmic dust streaked through dark skies. Swept up as planet Earth plows through dusty debris streams left behind periodic Comet Halley, the annual meteor shower is known as the Eta Aquarids. This inspired exposure captures a meteor streak moving left to right through the frame. Its trail points back across the arc of the Milky Way to the shower's radiant above the local horizon in the constellation Aquarius. Known for speed Eta Aquarid meteors move fast, entering the atmosphere at about 66 kilometers per second. Still waters of the small pond near Albion, Maine, USA reflect the starry scene and the orange glow of nearby artificial lights scattered by a low cloud bank. Of course, northern hemisphere skygazers are expecting a new meteor shower on May 24, the Camelopardalids, caused by dust from periodic comet 209P/LINEAR.",image,Halley Dust and Milky Way,https://apod.nasa.gov/apod/image/1405/EtaAquaridMW_taylor.jpg
nan,2014-05-10,"The Flame Nebula stands out in this optical image of the dusty, crowded star forming regions toward Orion's belt, a mere 1,400 light-years away. X-ray data from the Chandra Observatory and infrared images from the Spitzer Space Telescope can take you inside the glowing gas and obscuring dust clouds though. Swiping your cursor (or clicking the image) will reveal many stars of the recently formed, embedded cluster NGC 2024, ranging in age from 200,000 years to 1.5 million years young. The X-ray/infrared composite image overlay spans about 15 light-years across the Flame's center. The X-ray/infrared data also indicate that the youngest stars are concentrated near the middle of the Flame Nebula cluster. That's the opposite of the simplest models of star formation for the stellar nursery that predict star formation begins in the denser center of a molecular cloud core. The result requires a more complex model; perhaps star formation continues longer in the center, or older stars are ejected from the center due to subcluster mergers.",image,Inside the Flame Nebula,https://apod.nasa.gov/apod/image/1405/flame_optical.jpg
nan,2014-05-11,"The largest canyon in the Solar System cuts a wide swath across the face of Mars.  Named Valles Marineris, the grand valley extends over 3,000 kilometers long, spans as much as 600 kilometers across, and delves as much as 8 kilometers deep.  By comparison, the Earth's Grand Canyon in Arizona, USA is 800 kilometers long, 30 kilometers across, and 1.8 kilometers deep.  The origin of the Valles Marineris remains unknown, although a leading hypothesis holds that it started as a crack billions of years ago as the planet cooled.  Several geologic processes have been identified in the canyon.  The above mosaic was  created from over 100 images of Mars taken by Viking Orbiters in the 1970s.    Click Hyperspace: Random APOD Generator",image,Valles Marineris: The Grand Canyon of Mars,https://apod.nasa.gov/apod/image/1405/marsglobe_viking_960.jpg
nan,2014-05-12,"How did we get here? Click play, sit back, and watch.  A new computer simulation of the evolution of the universe -- the largest and most sophisticated yet produced -- provides new insight into how galaxies formed and new perspectives into humanity's place in the universe.  The Illustris project -- the largest of its type yet -- exhausted 20 million CPU hours following 12 billion resolution elements spanning a cube 35 million light years on a side as it evolved over 13 billion years. The simulation is the first to track matter into the formation of a wide variety of galaxy types. As the virtual universe evolves, some of the matter expanding with the universe soon gravitationally condenses to form filaments, galaxies, and clusters of galaxies. The above video takes the perspective of a virtual camera circling part of this changing universe, first showing the evolution of dark matter, then hydrogen gas coded by temperature (0:45), then heavy elements such as helium and carbon (1:30), and then back to dark matter (2:07). On the lower left the time since the Big Bang is listed, while on the lower right the type of matter being shown is listed.  Explosions (0:50) depict galaxy-center supermassive black holes expelling bubbles of hot gas. Interesting discrepancies between Illustris and the real universe do exist and are being studied, including why the simulation produces an overabundance of old stars.",video,Illustris Simulation of the Universe,//www.youtube.com/embed/QSivvdIyeG4?rel=0
 Jason Jennings (cosmicphotos) ,2014-05-13,"Can a gas cloud grab a galaxy?  It's not even close.  The claw of this odd looking creature in the above photo is a gas cloud known as a cometary globule.  This globule, however, has ruptured.  Cometary globules are typically characterized by dusty heads and elongated tails.  These features cause cometary globules to have visual similarities to comets, but in reality they are very much different.  Globules are frequently the birthplaces of stars, and many show very young stars in their heads. The reason for the rupture in the head of this object is not completely known.  The galaxy to the left of the globule is huge, very far in the distance, and only placed near CG4 by chance superposition.   Best Space Images: Free APOD Lecture in Paris on June 17",image,CG4: A Ruptured Cometary Globule,https://apod.nasa.gov/apod/image/1405/cg4_jennings_960.jpg
nan,2014-05-14,"If you were floating above the Earth right now, this is what you might see. Two weeks ago, the robotic SpaceX Dragon capsule that delivered supplies to the Earth-orbiting International Space Station (ISS) also delivered High Definition Earth Viewing (HDEV) cameras that take and transmit live views of Earth. Pictured above, when working, is the live video feed that switches between four cameras, each pointed differently. Watch white clouds, tan land, and blue oceans drift by.  The above video will appear black when it is nighttime on the Earth below, but the space station's rapid 90-minute orbit compresses this dark time into only 45 minutes.  The present location of the ISS above the Earth can be found on the web. If the video appears gray, this indicates that the view is either being switched between cameras, or communications with the ISS is temporarily unavailable.  As the HDEV project continues, video quality will be monitored to assess the effects of high energy radiation, which types of cameras work best, and which Earth views are the most popular. Although this feed will eventually be terminated, lessons learned will enable better cameras to be deployed to the ISS in the future, likely returning even more interesting live feeds.",video,A Live View from the International Space Station,https://www.ustream.tv/embed/17074538?v=3&wmode=direct&autoplay=true
Rolf Olsen,2014-05-15,"Cruising through the outer solar system, the Voyager 2 spacecraft made its closest approach to Neptune on August 25, 1989, the only spacecraft to visit the most distant ice giant planet. Based on the images recorded during its close encounter and in the following days, this inspired composited scene covers the dim outer planet, largest moon Triton, and faint system of rings. From just beyond Neptune's orbit, the interplanetary perspective looks back toward the Sun, capturing the planet and Triton as thin sunlit crescents. Cirrus clouds and a dark band circle Neptune's south polar region, with a cloudy vortex above the pole itself. Parts of the very faint ring system along with the three bright ring arcs were first imaged by Voyager during the fly-by, though the faintest segments are modeled in this composited picture. Spanning 7.5 degrees, the background starfield is composed from sky survey data centered on the constellation Camelopardalis, corresponding to the outbound Voyager's view of the magnificent Neptunian system.",image,Voyager's Neptune,https://apod.nasa.gov/apod/image/1405/Neptune-South-Pole-Voyager-2_950x682.jpg
nan,2014-05-16,"Staring up into the martian sky, the Opportunity rover captured an image at 11:02 AM local mean time nearly every 3rd sol, or martian day, for 1 martian year. Of course, the result is this martian analemma, a curve tracing the Sun's motion through the sky in the course of a year (668 sols) on the Red Planet. Spanning Earth dates from July, 16, 2006 to June 2, 2008 the images are shown composited in this zenith-centered, fisheye projection. North is at the top surrounded by a panoramic sky and landscape made in late 2007 from inside Victoria crater. The tinted martian sky is blacked out around the analemma images to clearly show the Sun's positions. Unlike Earth's figure-8-shaped analemma, Mars' analemma is pear-shaped, because of its similar axial tilt but more elliptical orbit. When Mars is farther from the Sun, the Sun progresses slowly in the martian sky creating the pointy top of the curve. When close to the Sun and moving quickly, the apparent solar motion is stretched into the rounded bottom. For several sols some of the frames are missing due to rover operations and dust storms.",image,Opportunity's Mars Analemma,https://apod.nasa.gov/apod/image/1405/marsAnalemma_b_900.jpg
nan,2014-05-17,"Gas giant Jupiter is the solar system's largest world with about 320 times the mass of planet Earth. It's also known for a giant swirling storm system, the Great Red Spot, featured in this sharp Hubble image from April 21. Nestled between Jupiter-girdling cloud bands, the Great Red Spot itself could still easily swallow Earth, but lately it has been shrinking. The most recent Hubble observations measure the spot to be about 10,250 miles (16,500 kilometers) across. That's the smallest ever measured by Hubble and particularly dramatic when compared to 14,500 miles measured by the Voyager 1 and 2 flybys in 1979, and historic telescopic observations from the 1800s indicating a width of about 25,500 miles on its long axis. Current indications are that the rate of shrinking is increasing for the long-lived Great Red Spot.",image,Hubble's Jupiter and the Amazing Shrinking Great Red Spot,https://apod.nasa.gov/apod/image/1405/HubbleJGRS_900.jpg
nan,2014-05-18,"What will become of Jupiter's Great Red Spot?  Recorded as shrinking since the 1930s, the rate of the Great Red Spot's size appears to have accelerated just in the past few years. A hurricane larger than Earth, the Great Red Spot has been raging at least as long as telescopes could see it. Like most astronomical phenomena, the Great Red Spot was neither predicted nor immediately understood after its discovery. Although small eddies that feed into the storm system seem to play a role, a more full understanding of the gigantic storm cloud remains a topic of continued research, and may result in a better understanding of weather here on Earth. The above image is a digital enhancement of an image of Jupiter taken in 1979 by the Voyager 1 spacecraft as it zoomed by the Solar System's largest planet. NASA's Juno spacecraft is currently heading toward Jupiter and will arrive in 2016.    Poll: Do you like APOD's leading question?",image,Jupiter's Great Red Spot from Voyager 1,https://apod.nasa.gov/apod/image/1405/redspot_voyager1_960.jpg
 Dave Lane ,2014-05-19,"Sometimes land and sky are both busy and beautiful. The landscape pictured in the foreground encompasses Bryce Canyon in Utah, USA, famous for its many interesting rock structures eroded over millions of years. The skyscape above, photogenic in its own right, encompasses the arching central disk of our Milky Way Galaxy, streaks that include three passing airplanes and at least four Eta Aquariid meteors, and bright stars that include the Summer Triangle. The above image is a digital panorama created from 12 smaller images earlier this month on the night May 6.  If you missed the recent Eta Aquariids meteor shower though, don't fret -- you may get an unexpected reprieve.  Sky enthusiasts are waiting to see if a new meteor shower develops in the early morning hours of Saturday, May 24, when the Earth moves through a possibly dense cloud of dust and debris ejected by Comet 209P/LINEAR.   See for yourself: Bryce Canyon National Park Astronomy Festival June 25-28  Best space images: Free APOD Lecture in Paris on June 17",image,"Meteors, Planes, and a Galaxy over Bryce Canyon",https://apod.nasa.gov/apod/image/1405/meteorsbryce_lane_960.jpg
nan,2014-05-20,"M61 is a barred spiral galaxy located in the nearby Virgo Cluster of Galaxies.  Visible in M61 are a host of features common to spiral galaxies: bright spiral arms, a central bar, dust lanes, and bright knots of stars.  M61, also known as NGC 4303, in similar to our own Milky Way Galaxy.  M61 was discovered by telescope in 1779 twice on the same day, but one observer initially mistook the galaxy for a comet.  Light from M61 takes about 55 million years to reach us.  The above image of the central regions of M61 was taken with the Hubble Space Telescope and adapted for release as part of the Hubble's Hidden Treasures image processing competition.",image,In the Center of Spiral Galaxy M61,https://apod.nasa.gov/apod/image/1405/m61_hubble_960.jpg
nan,2014-05-21,"How do supercell storm clouds form? Pictured above is a time-lapse video taken last Sunday detailing the formation of one such violent supercell in eastern Wyoming, USA. Starting as part of a large and dark thunderstorm complex, the supercell comes together along with a large rotating updraft of air known as a mesocyclone. Mesocyclones form during rapid changes in wind speed and direction with height and can produce torrential rain, damaging hail, swirling winds, and sometimes tornadoes.  Storm watchers are seen studying, imaging, and ultimately running from the developing storm cloud during the video.  During the middle part of the video, the kilometer-wide supercell can be seen swirling ominously with a nearly flat bottom. Toward the end of the video, another swirling supercell cloud forms but then quickly dissipates.    Poll: Have you seen this video before?",video,A Supercell Storm Cloud Forming over Wyoming,//www.youtube.com/embed/VoO89cqDgJU?rel=0
Martin Pugh,2014-05-22,"Beautiful emission nebula NGC 6164 was created by a rare, hot, luminous O-type star, some 40 times as massive as the Sun. Seen at the center of the cosmic cloud, the star is a mere 3 to 4 million years old. In another three to four million years the massive star will end its life in a supernova explosion. Spanning around 4 light-years, the nebula itself has a bipolar symmetry. That makes it similar in appearance to more common and familiar planetary nebulae - the gaseous shrouds surrounding dying sun-like stars. Also like many planetary nebulae, NGC 6164 has been found to have an extensive, faint halo, revealed in this deep telescopic image of the region. Expanding into the surrounding interstellar medium, the material in the halo is likely from an earlier active phase of the O star. The gorgeous skyscape is a composite of extensive narrow-band image data, highlighting glowing atomic hydrogen gas in red and oxygen in blue hues, with broad-band data for the surrounding starfield. NGC 6164 is 4,200 light-years away in the right-angled southern constellation of Norma.",image,A Halo for NGC 6164,https://apod.nasa.gov/apod/image/1405/NGC6164V2r950_PughStevenson.jpg
nan,2014-05-23,"The Rosetta spacecraft captured this remarkable series of 9 frames between March 27 and May 4, as it closed from 5 million to 2 million kilometers of its target comet. Cruising along a 6.5 year orbit toward closest approach to the Sun next year, periodic comet 67P/Churyumov-Gerasimenko is seen moving past a distant background of stars in Ophiuchus and globular star cluster M107. The comet's developing coma is actually visible by the end of the sequence, extending for some 1300 km into space. Rosetta is scheduled for an early August rendezvous with the comet's nucleus. Now clearly active, the nucleus is about 4 kilometers in diameter, releasing the dusty coma as its dirty ices begin to sublimate in the sunlight. The Rosetta lander's contact with the surface of the nucleus is anticipated in November.  Meteor Shower Hunt Tonight: Looking for the Camelopardalids",image,Rosetta's Target Comet,https://apod.nasa.gov/apod/image/1405/PIA18376c900.gif
 Todd Sladoje ,2014-05-24,"Why would clouds appear to be different colors? The reason here is that ice crystals in distant cirrus clouds are acting like little floating prisms.  Sometimes known as a fire rainbow for its flame-like appearance, a circumhorizon arc lies parallel to the horizon. For a circumhorizontal arc to be visible, the Sun must be at least 58 degrees high in a sky where cirrus clouds are present.  Furthermore, the numerous, flat, hexagonal ice-crystals that compose the cirrus cloud must be aligned horizontally to properly refract sunlight in a collectively similar manner.  Therefore, circumhorizontal arcs are quite unusual to see.  This circumhorizon display was photographed through a polarized lens above Dublin, Ohio in 2009.",image,A Circumhorizontal Arc Over Ohio,https://apod.nasa.gov/apod/image/1405/circumhorizontalarc_sladoje_960.jpg
Malcolm Park,2014-05-25,"From a camp on the northern shores of the Great Lake Erie, three short bright meteor streaks were captured in this composited night skyscape. Recorded over the early morning hours of May 24, the meteors are elusive Camelopardalids. Their trails point back to the meteor shower's radiant near Polaris, in the large but faint constellation Camelopardalis the camel leopard, or in modern terms the Giraffe. While a few meteors did appear, the shower was not an active one as the Earth crossed through the predicted debris trail of periodic comet 209P/LINEAR. Of course, the long bright streak in the image did appear as predicted. Early on May 24, the International Space Station made a bright passage through northern skies.",image,Camelopardalids and ISS,https://apod.nasa.gov/apod/image/1405/ISSCamelopardalidsLMalcolmPark950.jpg
nan,2014-05-26,"It is the most expensive and complex ground-based astronomy project ever -- what will it see tonight? The Atacama Large Millimeter Array (ALMA) project consists of 66 dishes, many the size of a small house, situated in the high altitude Atacama Desert in Northern Chile. Together, ALMA observes the skies in high-frequency radio light, a band usually used only for local communication due to considerable absorption by humid air.  The thin atmosphere and low humidity above ALMA, however, enable it to see deep into our universe in new and unique ways that allow, for example, explorations of the early universe for chemicals involved in star formation, and observing local star systems for signs of disks that form planets.   The above time-lapse video shows the course of four ALMA antennas over one night. The Moon sets early in the video, while three dishes repoint in unison. Background stars continually rotate up, the central band of our Milky Way Galaxy pivots around and eventually exits off to the right, while halfway through the Small and Large Magellanic Clouds -- satellite galaxies near our Milky Way -- rise up from below the horizon.  Car headlights momentarily illuminate the dishes, while an occasional Earth-orbiting satellite crosses overhead. Daylight ends the video but not ALMA observations -- which typically run both all night and all day.    Best space images: Free APOD Lecture in Paris on June 17",video,An ALMA Telescope Array Time-Lapse,//www.youtube.com/embed/eKGpsM0LGyY?rel=0
" Subaru Telescope   (NAOJ),  Hubble Space Telescope;   Processing:  Robert Gendler & Roberto Colombari ",2014-05-27,"What's happening at the center of this nebula? Sculpted by stellar winds and radiation, the star factory known as Messier 17 lies some 5,500 light-years away in the nebula-rich constellation Sagittarius. At that distance, this degree wide field of view spans almost 100 light-years. The sharp, composite, color image utilizing data from space and ground based telescopes, follows faint details of the region's gas and dust clouds against a backdrop of central Milky Way stars. Stellar winds and energetic light from hot, massive stars formed from M17's stock of cosmic gas and dust have slowly carved away at the remaining interstellar material producing the cavernous appearance and undulating shapes. M17 is also known as the Omega Nebula or the Swan Nebula.",image,Star Factory Messier 17,https://apod.nasa.gov/apod/image/1405/m17_gendlercolombari_960.jpg
nan,2014-05-28,"Stars are forming in the gigantic dust pillar called the Cone Nebula. Cones, pillars, and majestic flowing shapes abound in stellar nurseries where natal clouds of gas and dust are buffeted by energetic winds from newborn stars. The Cone Nebula, a well-known example, lies within the bright galactic star-forming region NGC 2264. The Cone was captured in unprecedented detail in this close-up composite of several observations from the Earth-orbiting Hubble Space Telescope. While the Cone Nebula, about 2,500 light-years away in Monoceros, is around 7 light-years long, the region pictured here surrounding the cone's blunted head is a mere 2.5 light-years across. In our neck of the galaxy that distance is just over half way from the Sun to its nearest stellar neighbor, the Alpha Centauri star system. The massive star NGC 2264 IRS, seen by Hubble's infrared camera in 1997, is the likely source of the wind sculpting the Cone Nebula and lies off the top of the image. The Cone Nebula's reddish veil is produced by glowing hydrogen gas.",image,The Cone Nebula from Hubble,https://apod.nasa.gov/apod/image/1405/cone_hubbleschmidt_960.jpg
CEDIC Team,2014-05-29,"Globular star cluster Omega Centauri, also known as NGC 5139, is some 15,000 light-years away. The cluster is packed with about 10 million stars much older than the Sun within a volume about 150 light-years in diameter, the largest and brightest of 200 or so known globular clusters that roam the halo of our Milky Way galaxy. Though most star clusters consist of stars with the same age and composition, the enigmatic Omega Cen exhibits the presence of different stellar populations with a spread of ages and chemical abundances. In fact, Omega Cen may be the remnant core of a small galaxy merging with the Milky Way. This astronomically sharp color image of the classic globular cluster was recorded in March under Chilean skies from Hacienda Los Andes.",image,Millions of Stars in Omega Centauri,https://apod.nasa.gov/apod/image/1405/N5139-2_cedic950.jpg
Adam Block,2014-05-30,"The gorgeous, gaseous shroud of a dying sunlike star, planetary nebula Abell 36 lies a mere 800 light-years away in the constellation of Virgo. At that distance it spans over 1.5 light-years in this sharp telescopic view. Shrugging off its outer layers, the nebula's central star is contracting and becoming hotter, evolving towards a final white dwarf phase. In fact, in Abell 36, the central star is estimated to have a surface temperature of over 73,000 K, compared to the Sun's present 6,000 K temperature. As a result, the intensely hot star is much brighter in ultraviolet light, compared to its visual appearance here. The invisible ultraviolet light ionizes hydrogen and oxygen atoms in the nebula and ultimately powers the beautiful visible light glow.",image,Planetary Nebula Abell 36,https://apod.nasa.gov/apod/image/1405/abell36sBlock.jpg
James Garlick,2014-05-31,"This clear night skyscape captures the colorful glow of aurora australis, the southern lights, just outside the port city of Hobart, Tasmania, Australia, planet Earth. As if staring into the dreamlike scene, the Tasmanian Earth Resources Satellite Station poses in the center, illuminated by nearby city lights. Used to receive data from spacebased Earth observing instruments, including NASA's MODIS and SeaWiFS, the station was decommissioned in 2011 and dismantled only recently, shortly after the picture was taken on April 30. Still shining in southern skies though, the central bulge of our Milky Way galaxy and two bright satellite galaxies the Large and Small Magellanic Clouds appear in the frame. The Small Magellanic Cloud shines through the fainter red auroral band.",image,Satellite Station and Southern Skies,https://apod.nasa.gov/apod/image/1405/TERSSAuroraAustralis_garlick950.jpg
" R. Corradi (Isaac Newton Group), Nordic Optical Telescope ",2014-06-01,"The Cat's Eye Nebula (NGC 6543) is one of the best known planetary nebulae in the sky. Its haunting symmetries are seen in the very central region of this stunning false-color picture, processed to reveal the enormous but extremely faint halo of gaseous material, over three light-years across, which surrounds the brighter, familiar planetary nebula. Made with data from the Nordic Optical Telescope in the Canary Islands, the composite picture shows extended emission from the nebula. Planetary nebulae have long been appreciated as a final phase in the life of a sun-like star. Only much more recently however, have some planetaries been found to have halos like this one, likely formed of material shrugged off during earlier active episodes in the star's evolution. While the planetary nebula phase is thought to last for around 10,000 years, astronomers estimate the age of the outer filamentary portions of this halo to be 50,000 to 90,000 years.",image,Halo of the Cat's Eye,https://apod.nasa.gov/apod/image/1406/catseye2_not_960.jpg
nan,2014-06-02,"The space station has caught a dragon. Specifically, in mid-April, the International Space Station captured the unmanned SpaceX Dragon capsule sent to resupply the orbiting outpost. Pictured above, the station's Canadarm2 had just grabbed the commercial spaceship. The Dragon capsule was filled with over 5000 lbs (2260 kilos) of supplies and experiments to be used by the current band of six ISS astronauts who compose Expedition 39, as well as the six astronauts who compose Expedition 40.  After docking with the ISS, the Dragon capsule was unloaded and eventually released, splashing down in the Pacific Ocean on May 18. The current Expedition 40 crew, now complete, will apply themselves to many tasks including the deployment of the Napor-mini RSA experiment which will use phased array radar and a small optical telescope to monitor possible emergency situations on the Earth below.",image,The Space Station Captures a Dragon Capsule,https://apod.nasa.gov/apod/image/1406/dragoncapture_nasa_960.jpg
" P. Tuthill  (U. Sydney) &  J. Monnier  (U. Michigan),  Keck Obs., ARC, NSF ",2014-06-03,"Might this giant pinwheel one-day destroy us?  Probably not, but investigation of the unusual star system Wolf-Rayet 104 has turned up an unexpected threat.  The unusual pinwheel pattern has been found to be created by energetic winds of gas and dust that are expelled and intertwine as two massive stars orbit each other. One system component is a Wolf-Rayet star, a tumultuous orb in the last stage of evolution before it explodes in a supernova -- an event possible anytime in the next million years. Research into the spiral pattern of the emitted dust, however, indicates the we are looking nearly straight down the spin axis of the system -- possibly the same axis along which a powerful jet would emerge were the supernova accompanied by a gamma-ray burst.  Now the WR 104 supernova itself will likely be an impressive but harmless spectacle.  Conversely, were Earth really near the center of the powerful GRB beam, even the explosion's 8,000 light year distance might not be far enough to protect us. Currently, neither WR 104 nor GRB beams are understood well enough to know the real level of danger.   Best space images: Free APOD Lecture in Paris on June 17",image,WR 104: A Pinwheel Star System,https://apod.nasa.gov/apod/image/1406/wr104_keck_960.jpg
 Daniel L�pez (El Cielo de Canarias) ,2014-06-04,"Many think it is just a myth.  Others think it is true but its cause isn't known.  Adventurers pride themselves on having seen it.  It's a green flash from the Sun.  The truth is the green flash does exist and its cause is well understood.  Just as the setting Sun disappears completely from view, a last glimmer appears startlingly green.  The effect is typically visible only from locations with a low, distant horizon, and lasts just a few seconds. A green flash is also visible for a rising Sun, but takes better timing to spot.  A dramatic green flash, as well as an even more rare red flash, was caught in the above photograph recently observed during a sunset visible from the Observatorio del Roque de Los Muchachos in the Canary Islands, Spain.  The Sun itself does not turn partly green or red -- the effect is caused by layers of the Earth's atmosphere acting like a prism.",image,A Green Flash from the Sun,https://apod.nasa.gov/apod/image/1406/redgreenflash_lopez_960.jpg
nan,2014-06-05,"Galaxies like colorful pieces of candy fill the Hubble Ultra Deep Field 2014. The dimmest galaxies are more than 10 billion times fainter than stars visible to the unaided eye and represent the Universe in the extreme past, a few 100 million years after the Big Bang. The image itself was made with the significant addition of ultraviolet data to the Hubble Ultra Deep Field, an update of Hubble's famous most distant gaze toward the southern constellation of Fornax. It now covers the entire range of wavelengths available to Hubble's cameras, from ultraviolet through visible to near-infrared. Ultraviolet data adds the crucial capability of studying star formation in the Hubble Ultra Deep Field galaxies between 5 and 10 billion light-years distant.",image,Hubble Ultra Deep Field 2014,https://apod.nasa.gov/apod/image/1406/hud2014_1000c.jpg
Alessandro Falesiedi,2014-06-06,"Sweeping slowly through northern skies, the comet PanSTARRS C/2012 K1 posed for this telescopic portrait on June 2nd in the constellation Ursa Major. Now within the inner solar system, the icy body from the Oort cloud sports two tails, a lighter broad dust tail and crooked ion tail extending below and right. The comet's condensed greenish coma makes a nice contrast with the spiky yellowish background star above. NGC 3319 appears at the upper left of the frame that spans almost twice the apparent diameter of the full Moon. The spiral galaxy is about 47 million light-years away, far beyond the stars in our own Milky Way. In comparison, the comet was a mere 14 light-minutes from our fair planet. This comet PanSTARRS will slowly grow brighter in the coming months remaining a good target for telescopic comet watchers and reaching perihelion, its closest approach to the Sun, while just beyond Earth's orbit in late August.",image,Comet PanSTARRS with Galaxy,https://apod.nasa.gov/apod/image/1406/PanstarssN3319Falesiedi950.jpg
Adam Block,2014-06-07,"A star cluster around 2 million years young, M16 is surrounded by natal clouds of dust and glowing gas also known as The Eagle Nebula. This beautifully detailed image of the region includes cosmic sculptures made famous in Hubble Space Telescope close-ups of the starforming complex. Described as elephant trunks or Pillars of Creation, dense, dusty columns rising near the center are light-years in length but are gravitationally contracting to form stars. Energetic radiation from the cluster stars erodes material near the tips, eventually exposing the embedded new stars. Extending from the left edge of the frame is another dusty starforming column known as the Fairy of Eagle Nebula. M16 and the Eagle Nebula lie about 7,000 light-years away, an easy target for binoculars or small telescopes in a nebula rich part of the sky toward the split constellation Serpens Cauda (the tail of the snake).",image,M16 and the Eagle Nebula,https://apod.nasa.gov/apod/image/1406/m16_32block950.jpg
